name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
희원,1인샵 | 마사지,서울특별시 강남구 역삼동 논현로,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동 (논현로),f_clean_naviya.csv
몽환,1인샵 | 스웨디시,서울특별시 강남구 역삼동 623-22 테헤란로13길 65,강남구,서울특별시 강남구,37.5074089,127.0580262,True,11230.0,,,서울특별시 강남구 역삼동 623-22 (테헤란로13길 65),f_clean_naviya.csv
여진,1인샵 | 스웨디시,서울특별시 강남구 논현로,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동,f_clean_naviya.csv
수아,1인샵 | 테라피,서울특별시 송파구 방이동,송파구,서울특별시 송파구,37.51450833,127.1045716,False,11240.0,잠실역,잠실역 10번출구,잠실역 10번출구 도보 5분,f_clean_naviya.csv
수연,1인샵 | 테라피,서울특별시 강남구 삼성동,강남구,서울특별시 강남구,37.5050434,127.0489287,False,11230.0,선릉역,선릉역 8번출구,선릉역 8번출구 도보5분,f_clean_naviya.csv
은채 왁싱&테라피,1인샵 | 테라피,서울특별시 서초구 양재동 275-3 마방로10길 15,서초구,서울특별시 서초구,37.47687670000001,127.0439265,True,11220.0,,,,f_clean_naviya.csv
러시안스웨디시,마사지 | 스웨디시,서울특별시 서초구 서초동 1337 사임당로 174,서초구,서울특별시 서초구,37.484102,127.034369,True,11220.0,양재역,양재역 2번출구,양재역 2번출구 도보5분,f_clean_naviya.csv
포스킨라보떼,스웨디시 | 테라피,서울특별시 송파구 문정동 620 새말로 62,송파구,서울특별시 송파구,37.477699,127.126274,True,11240.0,장지역,장지역 4번출구,장지역 4번출구 도보8분,f_clean_naviya.csv
시에스타,스웨디시,서울특별시 강남구 강남대로160길 10,강남구,서울특별시 강남구,37.5191415,127.0198075,True,11230.0,신사역,신사역 6번출구,신사역 6번출구 도보3분,f_clean_naviya.csv
Marriott Swedish,스웨디시,서울특별시 강남구 강남대로,강남구,서울특별시 강남구,37.51107925,127.0217419,False,11230.0,논현역,논현역 1번출구,논현역 1번출구 도보1분,f_clean_naviya.csv
하늘,1인샵 | 아로마,서울특별시 강남구 대치동 891-23 선릉로,강남구,서울특별시 강남구,37.5050809,127.0535226,True,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보4분,f_clean_naviya.csv
베베,테라피,서울특별시 강남구 청담동 학동로,강남구,서울특별시 강남구,37.51921581,127.0498316,False,11230.0,청담역,청담역 8번출구,청담역 8번출구 도보3분,f_clean_naviya.csv
아르떼테라피,스웨디시 | 테라피,서울특별시 송파구 방이동 43-2 오금로11길 43,송파구,서울특별시 송파구,37.515877,127.1116382,True,11240.0,몽촌토성역,몽촌토성역 3번출구,몽촌토성역 3번출구 도보2분,f_clean_naviya.csv
준희,1인샵 | 로미로미 | 테라피,서울특별시 강남구 대치동,강남구,서울특별시 강남구,37.50459467,127.0500678,False,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보4분,f_clean_naviya.csv
슈가,1인샵,서울특별시 강남구 역삼동,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동,f_clean_naviya.csv
잘풀리는샵,1인샵,서울특별시 강남구 논현동 186-5 강남대로116길 38,강남구,서울특별시 강남구,37.50677719999999,127.0270476,True,11230.0,논현역,논현역 3번출구,신논현역 3번출구 도보5분,f_clean_naviya.csv
프레첼,,서울특별시 강남구 논현동 122-8 학동로4길 15,강남구,서울특별시 강남구,37.5118341,127.0245397,True,11230.0,논현역,논현역 3번출구,논현역 3번출구 도보1분,f_clean_naviya.csv
