name,gu,address,lat,lng,address_std,address_q2,geocode_status,formatted_address
115,강남구,서울특별시 강남구 테헤란로 115,37.4990759,127.0298871,서울특별시 강남구 테헤란로 115,서울특별시 강남구 테헤란로 115,OK,대한민국 서울특별시 강남구 테헤란로 115
수목원,강남구,서울특별시 강남구 역삼동 823-30,37.4983624,127.0330702,서울특별시 강남구 역삼동 823-30,서울특별시 강남구 역삼동 823-30,OK,대한민국 서울특별시 강남구 역삼동 823-30
런닝래빗,강남구,서울특별시 강남구 역삼동 604-7 삼정호텔 지하,37.5061222,127.0311805,서울특별시 강남구 역삼동 604-7 삼정호텔 지하,서울특별시 강남구 역삼동 604-7 삼정,OK,대한민국 서울특별시 강남구 역삼동 604-7
리조트,강남구,서울특별시 강남구 삼성동 142-36 지하,37.5056581,127.0507119,서울특별시 강남구 삼성동 142-36 지하,서울특별시 강남구 삼성동 142-36,OK,대한민국 서울특별시 강남구 삼성동 142-36
트렌드,강남구,서울특별시 강남구 역삼동 831-42,37.4938831,127.0313263,서울특별시 강남구 역삼동 831-42,서울특별시 강남구 역삼동 831-42,OK,대한민국 서울특별시 강남구 역삼동 831-42
엘리트,강남구,서울특별시 강남구 대치동 890-38 지하,37.5043909,127.0533488,서울특별시 강남구 대치동 890-38 지하,서울특별시 강남구 대치동 890-38,OK,대한민국 서울특별시 강남구 대치동 890-38
방탄,강남구,서울특별시 강남구 역삼동 832-7,37.4918902,127.0309525,서울특별시 강남구 역삼동 832-7,서울특별시 강남구 역삼동 832-7,OK,대한민국 서울특별시 강남구 역삼동 832-7
