name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
NEW스웨디시,로드샵,서울특별시 강동구 양재대로 지하 1480,강동구,서울특별시 강동구,37.5396157,127.1459293,False,11250,길동역,,길동역 인근
별이1인샵,1인샵,서울특별시 강서구 공항대로 지하 267,강서구,서울특별시 강서구,37.55868299999999,126.837595,False,11160,발산역,발산역 1번출구,발산역1번출구
미래1인샵,1인샵,서울특별시 강서구 마곡중앙로 지하 135,강서구,서울특별시 강서구,,,False,11160,,,마곡나루역 근처
연아1인샵,1인샵,서울특별시 강서구 공항대로 지하 267,강서구,서울특별시 강서구,37.5706297,126.8298909,False,11160,발산역,,발산역 인근
쿨타이,타이,서울특별시 양천구 지양로 85,양천구,서울특별시 양천구,37.5226736,126.8325513,True,11150,,,2층 쿨타이
세령1인샵,1인샵,서울특별시 강서구 마곡중앙로 지하 135,강서구,서울특별시 강서구,,,False,11160,,,마곡나루역 근처
단비샵,로드샵,서울특별시 강서구 강서로 375,강서구,서울특별시 강서구,37.5591202,126.8381217,True,11160,,,마곡동
시우1인샵,1인샵,서울특별시 강서구 마곡중앙로 지하 135,강서구,서울특별시 강서구,,,False,11160,,,마곡나루역 인근
페라리스웨디시,로드샵,서울특별시 광진구 아차산로78길 162,광진구,서울특별시 광진구,37.5482549,127.1088096,True,11050,,,지하1층
과일가게,로드샵,서울특별시 광진구 긴고랑로10길 18,광진구,서울특별시 광진구,37.5621617,127.0798918,True,11050,군자역,군자역 1번출구,군자역 1번출구
심쿵테라피,로드샵,서울특별시 광진구 아차산로 384-1,광진구,서울특별시 광진구,37.5380692,127.0890292,True,11050,구의역,구의역 4번출구,구의역 4번출구
방콕테라피,로드샵,서울특별시 광진구 광나루로 343,광진구,서울특별시 광진구,37.548551,127.068139,True,11050,,,군자동
다바스웨디시,로드샵,서울특별시 구로구 구로중앙로28길 66,구로구,서울특별시 구로구,37.5000803,126.8893198,True,11170,,,구로구 보건소 도보1분
유나비1인샵,로드샵,서울특별시 금천구 벚꽃로 309,금천구,서울특별시 금천구,37.4824123,126.8822401,True,11180,,,가산디지털 부근
영아1인샵,1인샵,서울특별시 서초구 강남대로 241,서초구,서울특별시 서초구,37.48499820000001,127.0331464,True,11220,,,서초구 서초동
스타,로드샵,서울특별시 서초구 방배중앙로 173,서초구,서울특별시 서초구,37.4944751,126.9858508,True,11220,,,방배동 카페골목
다정1인샵,1인샵,서울특별시 서초구 강남대로 48-3,서초구,서울특별시 서초구,37.4692725,127.0399029,True,11220,,,양재동
낙원테라피,로드샵,서울특별시 서초구 매헌로 99,서초구,서울특별시 서초구,,,False,11220,,,양재시민의숲 옆 3번출구
디올아로마,로드샵,서울특별시 서초구 강남대로 241,서초구,서울특별시 서초구,37.48499820000001,127.0331464,True,11220,,,서초구 서초동
캐슬스파,로드샵,서울특별시 서초구 과천대로 790,서초구,서울특별시 서초구,37.46153710000001,126.991632,True,11220,,,서초구 방배동
별에스테틱,로드샵,서울특별시 서초구 강남대로 241,서초구,서울특별시 서초구,37.48499820000001,127.0331464,True,11220,,,서초동
낙원스웨디시,로드샵,서울특별시 서초구 강남대로 241,서초구,서울특별시 서초구,37.48499820000001,127.0331464,True,11220,,,서초구 서초동
블루아로마,로드샵,서울특별시 서초구 강남대로 241,서초구,서울특별시 서초구,37.48499820000001,127.0331464,True,11220,,,서초구 서초동
이지스웨디시,1인샵,서울특별시 송파구 송파대로 지하 179,송파구,서울특별시 송파구,37.4969143,127.1121343,True,11240,문정역,문정역 3번출구,문정역 3번출구 도보7길
송파 모카스파,로드샵,,송파구,서울특별시 송파구,37.52099219999999,127.0991094,False,11240,몽촌토성역,,"몽촌토성역,잠실역 도보10분"
여신스파,로드샵,서울특별시 송파구 올림픽로 지하 383,송파구,서울특별시 송파구,37.517641,127.11274,False,11240,몽촌토성역,몽촌토성역 3번출구,몽촌토성역 3번출구 도보 5분
주리1인샵,1인샵,서울특별시 송파구 송파대로 지하 82,송파구,서울특별시 송파구,37.477699,127.126274,False,11240,장지역,장지역 4번출구,장지역 4번출구 도보5분
여왕1인샵,1인샵,,송파구,서울특별시 송파구,37.4906778,127.1270405,False,11240,문정역,문정역 4번출구,문정역 4번출구 도보10분 문정역 4번출구 도보10분
송파 1인샵몽(夢)스웨디시,1인샵,서울특별시 송파구 올림픽로34길 5-13,송파구,서울특별시 송파구,37.5162865,127.1111665,True,11240,,,상세주소 문의
갤럭시스파,로드샵,서울특별시 송파구 올림픽로 지하 140,송파구,서울특별시 송파구,37.511433,127.084357,False,11240,잠실새내역,잠실새내역 4번출구,잠실새내역 4번출구 도보5분
문정스웨디시,1인샵,서울특별시 송파구 법원로 55,송파구,서울특별시 송파구,,,False,11240,,,문정 스타벅스 송파아이파크점 도보 1분
미미1인샵,1인샵,서울특별시 송파구 올림픽로 지하 23,송파구,서울특별시 송파구,37.511037,127.073674,False,11240,종합운동장역,종합운동장역 9번출구,종합운동장역 9번출구 도보5분
하나1인샵,1인샵,서울특별시 송파구 올림픽로 지하 23,송파구,서울특별시 송파구,37.511037,127.073674,False,11240,종합운동장역,종합운동장역 9번출구,종합운동장역 9번출구 도보5분
모모1인샵,1인샵,서울특별시 송파구 송파대로 지하 82,송파구,서울특별시 송파구,37.477699,127.126274,False,11240,장지역,장지역 4번출구,장지역 4번출구 도보7분
Y테라피,로드샵,서울특별시 송파구 올림픽로 지하 383,송파구,서울특별시 송파구,37.517641,127.11274,False,11240,몽촌토성역,몽촌토성역 3번출구,방이 몽촌토성역 3번출구 도보2분
립스틱테라피,로드샵,서울특별시 송파구 송파대로 지하 179,송파구,서울특별시 송파구,37.485945,127.122122,False,11240,문정역,문정역 3번출구,문정역 3번출구 도보3분
태이1인샵,1인샵,서울특별시 송파구 잠실역광장 24,송파구,서울특별시 송파구,37.5132612,127.1001336,False,11240,잠실역,잠실역 10번출구,잠실역 10번출구 도보5분
빛나1인샵,1인샵,서울특별시 영등포구 당산로 229,영등포구,서울특별시 영등포구,37.5346602,126.9028802,False,11190,당산역,,당산역 근처
영스파,로드샵,서울특별시 영등포구 양산로 지하 200,영등포구,서울특별시 영등포구,,,False,11190,,,4번출구 1분거리
L2스웨디시,로드샵,서울특별시 영등포구 국제금융로 108,영등포구,서울특별시 영등포구,37.5187228,126.9335595,True,11190,,,미라클빌딩 지하1층
코코테라피,로드샵,서울특별시 영등포구 의사당대로 지하 166,영등포구,서울특별시 영등포구,,,False,11190,,,샛강역 부근
테란1인샵,1인샵,서울특별시 영등포구 경인로114길 19,영등포구,서울특별시 영등포구,37.5181152,126.9155045,True,11190,,,영등포 로터리 인근
미미1인샵,1인샵,서울특별시 영등포구 양산로 지하 200,영등포구,서울특별시 영등포구,37.5210747,126.9066805,False,11190,영등포시장역,,영등포시장역 인근
비타민스웨디시,1인샵,서울특별시 종로구 종로 지하 55,종로구,서울특별시 종로구,37.5700105,126.9821081,False,11010,종각역,,종각역인근
mong테라피,로드샵,서울특별시 종로구 종로 지하 55,종로구,서울특별시 종로구,37.5700105,126.9821081,False,11010,종각역,,종각역인근
힐링테라피,1인샵,서울특별시 중랑구 망우로 297,중랑구,서울특별시 중랑구,37.5967657,127.0860297,True,11070,,,상세주소 유선문의
하루1인샵,1인샵,서울특별시 중랑구 망우로 297,중랑구,서울특별시 중랑구,37.5967657,127.0860297,False,11070,상봉역,,상봉역
