name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
퍼플스웨디시,마사지,서울특별시 구로구 디지털로 306,구로구,서울특별시 구로구,37.4859031,126.8972782,TRUE,11170,구로디지털단지역,구로디지털단지역 3번 출구,구로디지털단지역 3번 출구 도보 5분
휴7테라피,마사지,서울특별시 마포구 월드컵로3길 27,마포구,서울특별시 마포구,37.5502476,126.9112393,TRUE,11140,합정역,합정역 8번 출구,합정역 8번 출구 도보 5분
루루,마사지,서울특별시 강서구 내발산동 (상세주소 문의),강서구,서울특별시 강서구,37.5706297,126.8298909,FALSE,11160,발산역,,발산역 인근
설레임스파,마사지,서울특별시 광진구 구의동 (상세주소 문의),광진구,서울특별시 광진구,37.53679672,127.0851163,FALSE,11050,구의역,구의역 4번 출구,구의역 4번 출구 도보 1분
마마스파,마사지,서울특별시 강남구 논현로157길 8,강남구,서울특별시 강남구,37.5225032,127.0273982,TRUE,11230,압구정역,압구정역 4번 출구,압구정역 4번 출구 도보 5분
페라리스웨디시&아로마,마사지,서울특별시 광진구 아차산로78길 162,광진구,서울특별시 광진구,37.5482549,127.1088096,TRUE,11050,광나루역,광나루역 2번 출구,광나루역 2번 출구 도보 10분
왁싱앤유,왁싱,서울특별시 노원구 노해로 509,노원구,서울특별시 노원구,37.65541330000001,127.0645656,TRUE,11110,노원역,노원역 1번 출구,노원역 1번 출구 도보 1분
탑시크릿,마사지,서울특별시 강남구 선릉로86길 48,강남구,서울특별시 강남구,37.5040938,127.0536392,TRUE,11230,선릉역,선릉역 1번 출구,선릉역 1번 출구 도보 3분
가윤마사지,마사지,서울특별시 강서구 마곡중앙6로 66,강서구,서울특별시 강서구,37.559925,126.8343328,TRUE,11160,발산역,발산역 9번 출구,발산역 9번 출구 도보 4분
베스트스웨디시,마사지,서울특별시 마포구 토정로 276,마포구,서울특별시 마포구,37.5419318,126.940314,TRUE,11140,마포역,마포역 1번 출구,마포역 1번 출구 도보 3분
써니스웨디시,마사지,서울특별시 마포구 와우산로18길 12,마포구,서울특별시 마포구,37.5506932,126.9237227,TRUE,11140,,,홍대 클럽거리 인근
썸스웨디시,마사지,서울특별시 강남구 강남대로62길 13,강남구,서울특별시 강남구,37.4905907,127.0326231,TRUE,11230,,,
인스타스파,마사지,서울특별시 송파구 백제고분로7길 28-17,송파구,서울특별시 송파구,37.5099598,127.0823551,TRUE,11240,잠실새내역,잠실새내역 4번 출구,잠실새내역 4번 출구 5분 거리
데이지에스테틱,마사지 1인샵,서울특별시 송파구 백제고분로17길 36,송파구,서울특별시 송파구,37.5087115,127.0856694,TRUE,11240,잠실새내역,잠실새내역 2번 출구,잠실새내역 2번 출구 도보 6분 거리
청담본점,마사지 케렌시아,서울특별시 강남구 도산대로 412,강남구,서울특별시 강남구,37.5229615,127.0407085,TRUE,11230,압구정로데오역,,압구정로데오역 도보 8분
에비앙,마사지,서울특별시 강남구 신사동 (상세주소 문의),강남구,서울특별시 강남구,37.52561781,127.0282651,FALSE,11230,압구정역,압구정역 4번 출구,압구정역 4번 출구 인근
차이테라피,마사지,서울특별시 송파구 백제고분로48길 29,송파구,서울특별시 송파구,37.510857,127.1162809,TRUE,11240,송파나루역,송파나루역 3번 출구,송파나루역 3번 출구 도보 9분
크림,마사지,서울특별시 강남구 강남대로118길 25,강남구,서울특별시 강남구,37.5070206,127.0253078,TRUE,11230,신논현역,신논현역 3번 출구,신논현역 3번 출구 도보 5분
하이엔드스웨디시,마사지,서울특별시 강남구 대치동 (상세주소 문의),강남구,서울특별시 강남구,37.50459467,127.0500678,FALSE,11230,선릉역,선릉역 1번 출구,선릉역 1번 출구 도보 2분
휴테라피,마사지 1인샵,서울특별시 광진구 아차산로51길 86,광진구,서울특별시 광진구,37.5407028,127.0853486,TRUE,11050,,,
모디스티스파,마사지,서울특별시 강남구 논현로175길 68,강남구,서울특별시 강남구,37.5241075,127.0234405,TRUE,11230,압구정역,압구정역 5번 출구,압구정역 5번 출구 도보 8분
20대사이즈스웨디시,마사지 1인샵,서울특별시 종로구 종로31가길 23,종로구,서울특별시 종로구,37.5727324,127.0002392,TRUE,11010,종로5가역,,종로5가역 인근
20대사이즈스웨디시,마사지 1인샵,서울특별시 강북구 덕릉로 99,강북구,서울특별시 강북구,37.6350053,127.0246282,TRUE,11090,수유역,,수유역 도보 5분
20대사이즈스웨디시,마사지 1인샵,서울특별시 서대문구 이화여대1길 38,서대문구,서울특별시 서대문구,37.5573283,126.9436605,TRUE,11130,이대역,이대역 1번 출구,이대역 1번 출구 도보 3분
에르메스,마사지 1인샵,서울특별시 중랑구 망우로 304,중랑구,서울특별시 중랑구,37.5960059,127.0864716,TRUE,11070,상봉역,상봉역 2번 출구,상봉역 2번 출구 도보 5분
휴힐링,마사지,서울특별시 강남구 개포로 230,강남구,서울특별시 강남구,37.4786777,127.0479224,TRUE,11230,매봉역,매봉역 4번 출구,매봉역 4번 출구 도보 15분
엣지테라피,마사지,,,,,,FALSE,,,,
0.5마카롱스웨디시,마사지 1인샵,서울특별시 강남구 테헤란로4길 6,강남구,서울특별시 강남구,37.4977256,127.0292972,TRUE,11230,,,역삼동 825-20
아이콘스웨디시,마사지,서울특별시 서초구 강남대로83길 68,서초구,서울특별시 서초구,37.5045804,127.0204716,TRUE,11220,신논현역,신논현역 3번 출구,신논현역 3번 출구 도보 5분
자스민,마사지 1인샵,서울특별시 강남구 대치동 (상세주소 문의),강남구,서울특별시 강남구,37.50459467,127.0500678,FALSE,11230,선릉역,선릉역 1번 출구,선릉역 1번 출구 도보 3분﻿
한결왁싱,왁싱 1인샵,서울특별시 강남구 삼성동 54-9,강남구,서울특별시 강남구,37.517992,127.0517634,TRUE,11230,청담역,,청담역 도보 3분
미슐랭스웨디시,마사지,서울특별시 강남구 역삼동 (상세주소 문의),강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역 인근
숲스웨디시,마사지,서울특별시 성북구 돌곶이로22길 5,성북구,서울특별시 성북구,37.6102293,127.0582162,TRUE,11080,돌곶이역,돌곶이역 6번 출구,돌곶이역 6번 출구 도보 1분
시카고스웨디시,마사지,서울특별시 강남구 논현동 (상세주소 문의),강남구,서울특별시 강남구,37.5003324,127.0362649,FALSE,11230,역삼역,,역삼역 & 신논현역 인근
고야드스웨디시,마사지,서울특별시 강남구 역삼동 (상세주소 문의),강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역 인근
샤인테라피,마사지,서울특별시 구로구 도림천로 446,구로구,서울특별시 구로구,37.4860428,126.8985695,TRUE,11170,구로디지털단지역,구로디지털단지역 3번 출구,구로디지털단지역 3번 출구 도보 2분
매니아테라피,마사지,서울특별시 영등포구 영중로10길 28,영등포구,서울특별시 영등포구,37.5186187,126.9083095,TRUE,11190,영등포역,영등포역 5번 출구,영등포역 5번 출구 도보 5분
누아테라피,마사지,서울특별시 서대문구 통일로 432-2,서대문구,서울특별시 서대문구,37.5878691,126.9456461,TRUE,11130,홍제역,홍제역 2번 출구,홍제역 2번 출구 1분 거리
설포맨,마사지 1인샵,서울특별시 강남구 학동로82길 15,강남구,서울특별시 강남구,37.517992,127.0517634,TRUE,11230,,,청담동 5번 출구 도보 2분
바닐라스웨디시,마사지,서울특별시 노원구 상계동 (상세주소 문의),노원구,서울특별시 노원구,37.6543386,127.0626961,FALSE,11110,수락산역,,수락산역 도보 2분
수빈,마사지 1인샵,서울특별시 광진구 구의동 (상세주소 문의),광진구,서울특별시 광진구,,,FALSE,11050,,,
황제테라피,마사지,서울특별시 서초구 강남대로37길 60,서초구,서울특별시 서초구,37.4847866,127.03019,TRUE,11220,양재역,,양재역 도보 4분
은채,마사지 1인샵,서울특별시 서초구 마방로10길 25,서초구,서울특별시 서초구,37.4765898,127.0442929,TRUE,11220,,,
몽스웨디시,마사지 1인샵,서울특별시 송파구 방이동 (상세주소 문의),송파구,서울특별시 송파구,37.51712755,127.1124198,FALSE,11240,몽촌토성역,몽촌토성역 3번 출구,몽촌토성역 3번 출구 도보 2분
카스탈리아,마사지,서울특별시 강남구 언주로150길 14,강남구,서울특별시 강남구,37.5210154,127.0355075,TRUE,11230,,,
사쿠라스웨디시,마사지,서울특별시 영등포구 영등포로 237-1,영등포구,서울특별시 영등포구,37.5196226,126.9078846,TRUE,11190,영등포시장역,,영등포시장역 인근
소민,마사지 1인샵,서울특별시 광진구 군자동 (상세주소 문의),광진구,서울특별시 광진구,37.55715154,127.0800946,FALSE,11050,군자역,군자역 4번 출구,군자역 4번 출구 도보 2분
20대사이즈스웨디시,마사지 1인샵,서울특별시 관악구 신림동5가길 13,관악구,서울특별시 관악구,37.4865118,126.9265488,TRUE,11210,신림역,신림역 5번 출구,신림역 5번 출구 도보 6분
당근테라피,마사지,서울특별시 영등포구 영중로10길 18,영등포구,서울특별시 영등포구,37.5187317,126.9079951,TRUE,11190,영등포역,영등포역 5번 출구,영등포역 5번 출구 도보 5분
딸기,마사지 1인샵,서울특별시 금천구 가산동 (상세주소 문의),금천구,서울특별시 금천구,37.4729383,126.8812931,FALSE,11180,,,한라시그마밸리 기업은행 인근
