name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
115,,서울특별시 강남구 테헤란로 115,강남구,서울특별시 강남구,37.4990759,127.0298871,True,11230,,,
수목원,,서울특별시 강남구 역삼동 823-30,강남구,서울특별시 강남구,37.4983624,127.0330702,True,11230,,,
런닝래빗,,서울특별시 강남구 역삼동 604-7 삼정호텔 지하,강남구,서울특별시 강남구,37.5061222,127.0311805,True,11230,,,
리조트,,서울특별시 강남구 삼성동 142-36 지하,강남구,서울특별시 강남구,37.5056581,127.0507119,True,11230,,,
트렌드,,서울특별시 강남구 역삼동 831-42,강남구,서울특별시 강남구,37.4938831,127.0313263,True,11230,,,
엘리트,,서울특별시 강남구 대치동 890-38 지하,강남구,서울특별시 강남구,37.5043909,127.0533488,True,11230,,,
방탄,,서울특별시 강남구 역삼동 832-7,강남구,서울특별시 강남구,37.4918902,127.0309525,True,11230,,,
